nome_join;Name_API;tags;Patch
aatrox;Aatrox;Fighter;16.12.1
ahri;Ahri;Mage;16.12.1
akali;Akali;Assassin;16.12.1
akshan;Akshan;Marksman;16.12.1
alistar;Alistar;Tank;16.12.1
ambessa;Ambessa;Fighter;16.12.1
amumu;Amumu;Tank;16.12.1
anivia;Anivia;Mage;16.12.1
annie;Annie;Mage;16.12.1
aphelios;Aphelios;Marksman;16.12.1
ashe;Ashe;Marksman;16.12.1
aurelionsol;Aurelion Sol;Mage;16.12.1
aurora;Aurora;Mage;16.12.1
azir;Azir;Mage;16.12.1
bard;Bardo;Support;16.12.1
belveth;Bel'Veth;Fighter;16.12.1
blitzcrank;Blitzcrank;Tank;16.12.1
brand;Brand;Mage;16.12.1
braum;Braum;Tank;16.12.1
briar;Briar;Fighter;16.12.1
caitlyn;Caitlyn;Marksman;16.12.1
camille;Camille;Fighter;16.12.1
cassiopeia;Cassiopeia;Mage;16.12.1
chogath;Cho'Gath;Tank;16.12.1
corki;Corki;Marksman;16.12.1
darius;Darius;Fighter;16.12.1
diana;Diana;Fighter;16.12.1
draven;Draven;Marksman;16.12.1
drmundo;Dr. Mundo;Tank;16.12.1
ekko;Ekko;Assassin;16.12.1
elise;Elise;Assassin;16.12.1
evelynn;Evelynn;Assassin;16.12.1
ezreal;Ezreal;Marksman;16.12.1
fiddlesticks;Fiddlesticks;Mage;16.12.1
fiora;Fiora;Fighter;16.12.1
fizz;Fizz;Assassin;16.12.1
galio;Galio;Tank;16.12.1
gangplank;Gangplank;Fighter;16.12.1
garen;Garen;Fighter;16.12.1
gnar;Gnar;Fighter;16.12.1
gragas;Gragas;Fighter;16.12.1
graves;Graves;Marksman;16.12.1
gwen;Gwen;Fighter;16.12.1
hecarim;Hecarim;Fighter;16.12.1
heimerdinger;Heimerdinger;Mage;16.12.1
hwei;Hwei;Mage;16.12.1
illaoi;Illaoi;Fighter;16.12.1
irelia;Irelia;Fighter;16.12.1
ivern;Ivern;Support;16.12.1
janna;Janna;Support;16.12.1
jarvaniv;Jarvan IV;Fighter;16.12.1
jax;Jax;Fighter;16.12.1
jayce;Jayce;Fighter;16.12.1
jhin;Jhin;Marksman;16.12.1
jinx;Jinx;Marksman;16.12.1
kaisa;Kai'Sa;Marksman;16.12.1
kalista;Kalista;Marksman;16.12.1
karma;Karma;Mage;16.12.1
karthus;Karthus;Mage;16.12.1
kassadin;Kassadin;Assassin;16.12.1
katarina;Katarina;Assassin;16.12.1
kayle;Kayle;Mage;16.12.1
kayn;Kayn;Fighter;16.12.1
kennen;Kennen;Mage;16.12.1
khazix;Kha'Zix;Assassin;16.12.1
kindred;Kindred;Marksman;16.12.1
kled;Kled;Fighter;16.12.1
kogmaw;Kog'Maw;Marksman;16.12.1
ksante;K'Sante;Tank;16.12.1
leblanc;LeBlanc;Assassin;16.12.1
leesin;Lee Sin;Fighter;16.12.1
leona;Leona;Tank;16.12.1
lillia;Lillia;Fighter;16.12.1
lissandra;Lissandra;Mage;16.12.1
lucian;Lucian;Marksman;16.12.1
lulu;Lulu;Support;16.12.1
lux;Lux;Mage;16.12.1
malphite;Malphite;Tank;16.12.1
malzahar;Malzahar;Mage;16.12.1
maokai;Maokai;Tank;16.12.1
masteryi;Master Yi;Fighter;16.12.1
mel;Mel;Mage;16.12.1
milio;Milio;Support;16.12.1
missfortune;Miss Fortune;Marksman;16.12.1
wukong;Wukong;Fighter;16.12.1
mordekaiser;Mordekaiser;Fighter;16.12.1
morgana;Morgana;Support;16.12.1
naafiri;Naafiri;Assassin;16.12.1
nami;Nami;Support;16.12.1
nasus;Nasus;Fighter;16.12.1
nautilus;Nautilus;Tank;16.12.1
neeko;Neeko;Mage;16.12.1
nidalee;Nidalee;Assassin;16.12.1
nilah;Nilah;Fighter;16.12.1
nocturne;Nocturne;Fighter;16.12.1
nunu;Nunu e Willump;Tank;16.12.1
olaf;Olaf;Fighter;16.12.1
orianna;Orianna;Mage;16.12.1
ornn;Ornn;Tank;16.12.1
pantheon;Pantheon;Fighter;16.12.1
poppy;Poppy;Tank;16.12.1
pyke;Pyke;Support;16.12.1
qiyana;Qiyana;Assassin;16.12.1
quinn;Quinn;Marksman;16.12.1
rakan;Rakan;Support;16.12.1
rammus;Rammus;Tank;16.12.1
