patch;patch_features;nome_join;Name;Win %;Pick %;Ban %;Presenca_Global %;delta_wr_1p;tendencia_3p;pressao_acumulada;wr_vs_media;target;Prob_Nerf %;Prob_Buff %
2612;2611;aatrox;Aatrox;48.31;14.06;7.83;21.89;1.74;0.66;0;1.8;2;36.3;10.2
2612;2611;ahri;Ahri;50.67;21.51;4.46;25.97;3.53;2.36;0;3.33;0;7.0;4.9
2612;2611;akali;Akali;41.03;17.6;18.78;36.38;1.61;-1.04;0;-0.71;0;4.5;1.4
2612;2611;akshan;Akshan;46.82;5.98;2.88;8.86;1.64;0.84;0;1.38;0;0.0;6.0
2612;2611;alistar;Alistar;42.79;8.59;1.61;10.2;-0.85;-1.33;0;-0.69;0;0.0;1.3
2612;2611;ambessa;Ambessa;46.7;10.75;8.35;19.1;1.51;-0.45;0;0.02;0;6.3;2.7
2612;2611;amumu;Amumu;40.61;4.85;0.99;5.84;-0.91;-2.2;0;-2.89;0;0.0;11.2
2612;2611;anivia;Anivia;46.48;10.02;4.55;14.57;2.97;-0.08;0;0.34;0;0.1;6.2
2612;2611;annie;Annie;46.46;6.59;0.77;7.36;1.78;-0.71;0;-0.9;0;0.0;37.8
2612;2611;aphelios;Aphelios;42.34;8.68;1.49;10.17;-3.03;-0.29;0;-0.92;0;0.0;5.4
2612;2611;ashe;Ashe;42.69;28.59;8.84;37.43;0.58;-0.74;0;-0.45;0;13.0;0.6
2612;2611;aurelionsol;Aurelion Sol;48.07;5.4;0.75;6.15;-0.85;-0.6;0;-0.79;0;0.0;49.6
2612;2611;aurora;Aurora;43.07;7.52;2.18;9.7;-1.41;0.24;0;-0.76;0;0.0;6.3
2612;2611;azir;Azir;44.96;3.62;0.29;3.91;7.73;1.78;0;4.4;0;0.0;2.8
2612;2611;bard;Bard;42.96;14.5;4.16;18.66;1.12;-0.14;0;0.66;0;2.4;9.1
2612;2611;belveth;Bel'Veth;46.89;4.33;3.28;7.61;0.94;0.02;0;-0.09;0;0.0;21.0
2612;2611;blitzcrank;Blitzcrank;36.99;10.3;10.91;21.21;-1.27;-0.19;0;-0.11;0;4.5;3.0
2612;2611;brand;Brand;49.94;18.45;11.15;29.6;-0.45;-0.42;0;-0.65;0;38.7;7.7
2612;2611;braum;Braum;40.54;9.95;6.92;16.87;-3.72;0.98;0;-0.46;0;1.9;1.2
2612;2611;briar;Briar;48.37;10.43;8.98;19.41;1.86;0.54;0;1.37;0;19.8;8.4
2612;2611;caitlyn;Caitlyn;41.5;32.45;22.38;54.83;0.91;-1.18;0;-0.72;0;15.7;0.5
2612;2611;camille;Camille;48.68;8.0;0.95;8.95;0.57;0.1;0;0.34;0;0.0;28.9
2612;2611;cassiopeia;Cassiopeia;47.72;5.76;1.91;7.67;-0.21;-0.74;0;-0.85;0;0.0;34.7
2612;2611;chogath;Cho'Gath;48.72;7.27;0.62;7.89;-0.33;0.12;0;0.07;0;0.0;36.5
2612;2611;corki;Corki;44.13;3.73;0.35;4.08;0.67;-0.18;0;-0.19;0;0.0;30.8
2612;2611;darius;Darius;48.18;15.14;13.47;28.61;1.33;0.3;0;0.73;0;35.3;4.2
2612;2611;diana;Diana;47.91;21.47;6.91;28.38;-0.57;0.17;0;0.23;0;14.3;1.4
2612;2611;draven;Draven;43.09;9.21;13.69;22.9;-0.8;-0.4;0;-1.09;0;2.1;3.7
2612;2611;drmundo;Dr. Mundo;46.91;8.8;2.99;11.79;0.37;0.22;0;0.66;0;0.5;14.7
2612;2611;ekko;Ekko;50.02;15.69;2.22;17.91;0.67;0.52;0;0.82;0;4.8;22.7
2612;2611;elise;Elise;48.53;6.02;1.46;7.48;-0.6;-1.06;0;-0.91;0;0.0;38.5
2612;2611;evelynn;Evelynn;48.33;5.67;2.77;8.44;3.57;0.43;0;1.75;0;0.0;12.4
2612;2611;ezreal;Ezreal;41.94;35.78;8.57;44.35;-0.09;0.01;0;0.03;0;11.2;0.0
2612;2611;fiddlesticks;Fiddlesticks;50.26;6.07;1.43;7.5;-0.28;-0.46;0;-0.48;0;0.0;25.3
2612;2611;fiora;Fiora;49.76;6.86;5.09;11.95;-0.74;0.78;0;1.06;0;4.7;4.3
2612;2611;fizz;Fizz;47.85;12.98;7.44;20.42;-1.41;0.59;0;0.09;0;17.7;9.0
2612;2611;galio;Galio;48.28;10.79;1.55;12.34;2.87;1.18;0;2.27;0;0.9;5.9
2612;2611;gangplank;Gangplank;38.03;11.45;5.49;16.94;-4.8;-1.34;0;-3.28;0;1.4;3.7
2612;2611;garen;Garen;40.9;16.82;6.47;23.29;-2.34;-0.17;0;-0.98;0;4.1;0.6
2612;2611;gnar;Gnar;43.99;7.32;1.17;8.49;0.15;0.09;0;0.33;0;0.0;11.8
2612;2611;gragas;Gragas;49.7;8.06;0.75;8.81;1.12;0.56;0;1.01;0;0.0;17.5
2612;2611;graves;Graves;44.66;24.18;16.0;40.18;1.07;-0.31;0;-0.02;0;14.4;0.4
2612;2611;gwen;Gwen;45.51;6.52;2.86;9.38;-4.71;-2.69;0;-3.45;2;0.0;4.6
2612;2611;hecarim;Hecarim;44.34;8.71;3.85;12.56;8.78;3.89;0;8.03;0;0.0;0.0
2612;2611;heimerdinger;Heimerdinger;50.5;4.0;1.57;5.57;1.28;0.47;0;1.03;0;0.0;12.9
2612;2611;hwei;Hwei;51.25;9.84;1.65;11.49;2.88;1.39;0;1.91;2;0.0;3.7
2612;2611;illaoi;Illaoi;47.09;5.03;3.89;8.92;4.78;2.65;0;3.3;0;0.0;2.2
2612;2611;irelia;Irelia;43.89;14.21;13.86;28.07;-2.2;0.46;0;-0.28;0;6.3;6.1
2612;2611;ivern;Ivern;48.35;3.01;0.42;3.43;-0.27;-0.33;0;-0.21;0;0.0;48.4
2612;2611;janna;Janna;42.73;7.8;0.89;8.69;0.28;-1.49;0;-0.34;0;0.1;2.7
2612;2611;jarvaniv;Jarvan IV;46.53;14.96;1.57;16.53;-1.6;-0.09;0;-0.65;0;0.0;6.5
2612;2611;jax;Jax;48.0;13.55;11.42;24.97;1.73;-0.17;0;0.61;2;38.9;10.8
2612;2611;jayce;Jayce;47.24;15.53;5.87;21.4;0.33;0.09;0;0.21;0;15.4;6.7
2612;2611;jhin;Jhin;44.0;31.3;1.26;32.56;-0.87;-0.68;0;-0.98;0;3.3;2.0
2612;2611;jinx;Jinx;43.71;24.7;2.67;27.37;-0.66;-0.79;0;-1.16;0;2.7;1.0
2612;2611;kaisa;Kai'Sa;45.08;25.44;1.37;26.81;0.35;0.08;0;0.26;0;1.0;4.4
2612;2611;kalista;Kalista;46.98;3.56;0.25;3.81;2.44;-1.6;0;0.88;0;0.0;12.3
2612;2611;karma;Karma;44.87;18.04;6.89;24.93;-0.59;-0.23;0;-0.09;0;6.1;0.0
2612;2611;karthus;Karthus;49.82;5.28;1.53;6.81;0.44;0.07;0;0.14;0;0.0;36.7
2612;2611;kassadin;Kassadin;43.41;6.38;3.1;9.48;3.42;0.29;0;0.89;0;0.0;4.8
2612;2611;katarina;Katarina;47.99;16.81;12.15;28.96;-0.84;0.1;0;0.24;0;26.2;2.9
2612;2611;kayle;Kayle;49.58;6.95;2.99;9.94;-0.06;0.52;0;0.64;0;0.0;20.0
2612;2611;kayn;Kayn;44.8;15.95;5.29;21.24;-0.21;-1.16;0;-1.38;0;3.8;0.6
2612;2611;kennen;Kennen;46.02;4.0;1.17;5.17;1.83;-0.05;0;0.71;0;0.0;33.8
2612;2611;khazix;Kha'Zix;37.35;11.82;3.67;15.49;-4.13;-5.52;0;-5.52;0;0.0;0.8
2612;2611;kindred;Kindred;44.97;5.03;1.72;6.75;-1.11;-0.95;0;-1.61;0;0.0;31.2
2612;2611;kled;Kled;47.32;3.61;0.81;4.42;-3.15;-0.19;0;-1.06;0;0.0;38.2
2612;2611;kogmaw;Kog'Maw;47.67;4.59;0.43;5.02;-3.06;-1.1;0;-1.39;0;0.0;37.0
2612;2611;ksante;K'Sante;45.37;10.25;3.18;13.43;-0.4;-0.9;0;-0.69;0;0.0;3.0
2612;2611;leblanc;LeBlanc;43.52;9.03;13.07;22.1;-0.38;-0.68;0;-0.65;0;3.0;3.9
2612;2611;leesin;Lee Sin;46.66;30.3;19.96;50.26;-0.67;0.13;0;0.1;1;12.6;0.2
2612;2611;leona;Leona;40.32;15.81;6.55;22.36;-0.55;-0.55;0;-0.37;0;4.4;0.6
2612;2611;lillia;Lillia;49.26;5.03;1.49;6.52;11.53;1.43;0;6.23;0;0.0;7.2
2612;2611;lissandra;Lissandra;47.03;11.15;3.16;14.31;-1.41;0.0;0;-0.29;0;0.6;6.6
2612;2611;lucian;Lucian;44.01;17.98;2.91;20.89;2.2;-0.32;0;0.58;0;0.9;4.3
2612;2611;lulu;Lulu;43.67;18.67;8.39;27.06;-1.59;-0.6;0;-0.78;0;11.7;3.9
2612;2611;lux;Lux;45.54;22.31;3.05;25.36;-3.24;-0.5;0;-0.62;0;1.0;5.2
2612;2611;malphite;Malphite;47.85;18.16;19.29;37.45;0.16;-0.05;0;0.35;0;37.7;2.2
2612;2611;malzahar;Malzahar;47.26;14.27;10.63;24.9;1.33;0.55;0;1.16;0;28.2;8.7
2612;2611;maokai;Maokai;50.2;5.02;0.15;5.17;0.44;0.48;0;0.34;0;0.0;18.1
2612;2611;masteryi;Master Yi;48.67;15.43;16.16;31.59;-1.38;0.11;0;-0.41;0;21.4;6.8
2612;2611;mel;Mel;42.5;12.67;22.71;35.38;-1.18;-0.04;0;0.55;0;3.8;4.5
2612;2611;milio;Milio;40.08;13.85;5.24;19.09;5.46;-1.05;0;0.83;0;3.1;8.3
2612;2611;missfortune;Miss Fortune;40.31;13.78;0.78;14.56;0.71;-0.65;0;-0.17;0;0.5;7.6
